buff_id,buff_name,buff_detail,buff_sameadd_max,buff_maxtime,buff_interface_show_flag
10002,Cấm cố,,1,2.5,0
10004,Bị thương,,1,12.0,0
10005,Bất tử,,1,45.0,0
10006,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,10.0,0
10007,Tăng hồi phục,,1,4.5,0
10008,Nội kình,,1,4.5,0
10009,Cơn giận,,5,6.0,0
10011,Hộ thể,,1,4.5,0
10012,Gây trọng thương,,1,6.0,0
10013,Tăng hồi phục,,1,6.0,0
10014,Giảm tốc,Tốc độ di chuyển giảm 25%,1,4.5,0
10015,Tăng tốc,Tốc độ di chuyển tăng 25%,1,4.5,0
10016,Kiên thủ,Trong thời gian duy trì miễn nhiễm với trọng thương,1,4.5,0
10017,Cảm nhận,,1,7.5,0
10018,Cảm ứng,,1,7.5,0
10019,Định Thân,"Bị định thân, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,4.5,0
10020,Huyết Chiến Bất Động,Miễn nhiễm phần lớn trạng thái cứng đờ khi bị đánh,1,6.0,0
10021,Giảm tốc,Tốc độ di chuyển giảm 50%,1,4.5,0
10022,Cấm cố,Không thể di chuyển,1,4.5,0
10024,Hết khí,"Chân khí trống rỗng, sát thương nhận vào tăng lên",1,7.0,0
10026,Suy nhược,"Suy nhược, sát thương Khí Huyết và Chân Khí gây ra giảm 30%",1,5.0,0
10027,Giảm tốc,Tốc độ di chuyển giảm 15%,1,-1.0,0
10028,Giảm tốc,Tốc độ di chuyển giảm 25%,1,-1.0,0
10029,Giảm tốc,Tốc độ di chuyển giảm 50%,1,-1.0,0
10030,Tăng sát thương,Tăng sát thương 10%,1,8.0,0
10031,Tăng sát thương,Sát thương tăng 15%,1,8.0,0
10032,Né tránh,,1,0.3,0
10033,Đóng Băng,"Bị đóng băng, không thể di chuyển hoặc sử dụng hầu hết kỹ năng",1,3.0,0
10034,Đánh ngã,,1,-1.0,0
10035,Phong huyệt,"Bị phong huyệt, không thể phòng ngự, không thể sử dụng kỹ năng phá phòng, kỹ năng phản đòn.",1,5.0,0
10036,Phong Huyệt,,1,5.0,0
10501,Vô địch,,1,-1.0,0
10502,Không thể chọn,,1,-1.0,0
10503,Thoát khóa,,1,-1.0,0
10504,Thoát khóa,,1,-1.0,0
10505,Thoát Khóa,,1,-1.0,0
10506,Thoát khóa,,1,-1.0,0
10511,Bá thể cấp 1,,1,-1.0,0
10512,2 cấp bá thể,,1,-1.0,0
10513,Bá thể cấp 3,,1,-1.0,0
10521,Khóa Khí Huyết,,1,-1.0,0
10522,Miễn tử,,1,-1.0,0
10523,Giảm sát thương 10%,,1,-1.0,0
10524,Giảm thương 30%,,1,-1.0,0
10525,Giảm 50% sát thương,,1,-1.0,0
10526,Giảm thương 70%,,1,-1.0,0
10527,Giảm thương 90%,,1,-1.0,0
10531,Khóa Chân Khí,,1,-1.0,0
10532,Miễn khí kiệt,,1,-1.0,0
10533,Giảm 10% Chân Khí,,1,-1.0,0
10534,Giảm 30% Chân Khí,,1,-1.0,0
10535,Giảm 50% Chân Khí,,1,-1.0,0
10536,Giảm thương 70% Chân Khí,,1,-1.0,0
10537,Giảm thương 90% Chân Khí,,1,-1.0,0
10601,Trì không phòng rơi rớt_Mạnh,,1,-1.0,0
10602,Trì không phòng rơi rớt_Yếu,,1,-1.0,0
10621,Tiền điệu đỏ_Mạnh,,1,-1.0,0
10622,Tiền đề ánh sáng đỏ_yếu,,1,-1.0,0
10624,Chỉ một lần kỹ năng_kèm theo giảm thương,,1,-1.0,0
10625,Chỉ một kỹ năng,,1,-1.0,0
10626,Kim quang tiền diêu_Mạnh,,1,-1.0,0
10627,Kim quang tiền diêu_yếu,,1,-1.0,0
10628,Tiền điệu đỏ_mạnh,,1,-1.0,0
10629,Tiền điệu đỏ_yếu,,1,-1.0,0
20000,Giọt nước không dính,Sạch sẽ,1,10.0,0
20001,Phân trần bám đầy,Hơi bẩn,30,60.0,0
20002,Ô uế phân thân,Rất bẩn,30,600.0,0
20003,Mùi Phân Thối Bay Xa,Rất bẩn!,999,1800.0,0
20004,Cấm cố,Không được nhúc nhích!,1,300.0,0
20005,Thoát chiến,,1,3.0,0
20006,Chấn thương chân,Chân đau!,1,1200.0,0
20007,Thủy Lao,"Hình hình khổ sở, cần được cứu giúp ngay!",1,240.0,0
20008,Ẩn thân,,1,1.0,0
20009,Lực Bạt Sơn,Cảm đáo thể nội khí thể sung doanh！,1,300.0,0
20010,Khí Cái Thế,Khí thể trong cơ thể tràn đầy!,1,0.4,0
20011,Vào chiến,,1,-1.0,0
20012,Liệp Sát,Ngươi đã bị nhắm vào!,1,3.0,0
20013,Săn giết,,1,6.0,0
20014,Săn giết,Ngươi bị nhắm tới rồi!,1,-1.0,0
20015,Vô Địch,,1,-1.0,0
20016,Bình tĩnh,Nội tâm bình tĩnh lại,1,-1.0,0
20017,Khóa 1% Khí Huyết,,1,5.0,0
20018,Mất máu,Khí Huyết dần dần mất đi.,1,8.0,0
20019,Trừ quan ải thủ,,1,8.0,0
20020,Vô địch,,1,-1.0,0
20021,Hot,,5,10000.0,0
20022,Hot,,1,5.0,0
20023,Giả chết,,1,5.0,0
20024,Suối nước nóng tuyết sơn,Rất thoải mái!,1,10000.0,0
20025,Suối nước nóng tuyết sơn,Vô cùng thoải mái!,1,10000.0,0
20026,Độ bền tăng lên,"Sau khi ngâm suối nước nóng, giới hạn thể lực tăng 20 điểm, tiêu hao thể lực giảm 50%, leo núi càng có sức.",1,600.0,0
20027,Ném vào trong bình không chết,,1,5.0,0
20028,Giảm tốc,,1,10.0,0
20029,Tàng hình,,1,-1.0,0
20030,Thoát chiến,,1,-1.0,0
20031,Xung kích,Tốc độ di chuyển tăng lên.,1,4.0,0
20032,Miễn dịch,,1,-1.0,0
20033,Hồi phục,,10,1.0,0
20034,Kéo xe,,1,-1.0,0
20035,Liều mình xả thân,,1,-1.0,0
20036,Trượt chân,,1,3.0,0
20037,Toàn sang dược,Thử xem rồi sẽ chết.,1,3.0,0
30001,Định Thân 1,,1,10.0,0
30002,Định Thân 2,,1,10.0,0
30003,Định Thân 1,,1,4.0,0
30004,Định Thân 2,,1,4.0,0
30005,Miễn khống chế,,1,10.0,0
30006,Miễn tử,,1,-1.0,0
30007,Không thể chọn,,1,-1.0,0
30008,Cấm Cố,,1,5.0,0
30009,Bá thể,Miễn nhiễm hiệu ứng suy yếu khi bị tấn công,1,5.0,0
30010,Hỗn loạn,Điều khiển cần analog bị đảo ngược,1,5.0,0
30011,Miễn Tử,,1,-1.0,0
30012,Bất Khả Động (Bất Hoại Thân),Miễn nhiễm khi bị tấn công bởi đòn yếu,1,5.0,0
30013,Choáng,,1,4.0,0
30014,Trầm mặc 0,Trầm mặc 0,1,5.0,0
30015,Trầm mặc1,Trầm mặc 1,1,5.0,0
30016,Trầm mặc 2,Trầm mặc 2,1,5.0,0
30017,Không thể chọn,,1,5.0,0
