buff_id,buff_name_text,buff_detail_text,buff_type,buff_maxtime,buff_show_flag
10002,Imprisonment,,1,2.5,0
10004,Injured,,1,12,0
10005,Super Armor,,1,45,0
10006,Immobilized,Immobilized; unable to move or cast most skills,1,10,0
10007,Healing Boost,,1,4.5,0
10008,Inner Power,,1,4.5,0
10009,Fury,,1,6,0
10011,Protective Aura,,1,4.5,0
10012,Cause Defeated,,1,6,0
10013,Healing Boost,,1,6,0
10014,Slow Down,Movement Speed reduced by 25%,1,4.5,0
10015,Speed Up,Movement Speed increased by 25%,1,4.5,0
10016,Defensive,Immune to serious injury while active,1,4.5,0
10017,Awareness,,1,7.5,1
10018,Awareness,,1,7.5,1
10019,Immobilized,Immobilized; unable to move or cast most skills,1,4.5,0
10020,Super Armor,Immune to most stagger effects after being hit,1,6,0
10021,Slow Down,Movement Speed reduced by 50%,1,4.5,0
10022,Imprisonment,Unable to Move,1,4.5,0
10024,Exhausted,Take increased damage when Qi is empty,1,7,0
10026,Weakened,"Weakened, HP and Qi damage dealt reduced by 30%",1,5,0
10027,Slow Down,Movement Speed reduced by 15%,1,-1,0
10028,Slow Down,Movement Speed reduced by 25%,1,-1,0
10029,Slow Down,Movement Speed reduced by 50%,1,-1,0
10030,Damage Boost,Damage increased by 10%,1,8,0
10031,Damage Boost,Damage increased by 15%,1,8,0
10032,Dodge,,1,0.3,1
10033,Frozen,"Frozen, unable to move or cast most skills",1,3,0
10034,Knockdown,,1,-1,1
10035,Acupoints Sealed,"Acupoints sealed, unable to defend or use Defense Break Skill/Counterattack Skill",1,5,0
10036,Acupoints Sealed,,1,5,1
20000,Waterless,Very clean,1,-1,0
20001,Poop Servant,Slightly dirty,1,10,0
20002,Feces Around,Very dirty,1,10,0
20003,Overwhelming Stench,Extremely dirty!,1,10,0
20004,Imprisonment,Unable to move!,1,300,0
20005,Leave Combat,,1,3,0
20006,Leg Injury,My leg hurts!,1,1200,0
20007,Water Dungeon,The torture is unbearable. Rescue needed!,1,240,0
20008,Invisibility,,1,1,1
30001,Immobilize 1,,1,10,0
30002,Immobilize 2,,1,10,0
30003,Immobilize 1,,1,4,0
30004,Immobilize 2,,1,4,0
30005,Control Immunity,,1,10,0
30006,Death Immunity,,1,-1,1
30007,Cannot be Selected,,1,-1,1
30008,Imprisonment,,1,5,0
30009,Super Armor,Immune to Weak Attack's Stagger Effect,1,5,1
30010,Chaos,Inversed Stick,1,5,0
30011,Death Immunity,,1,-1,1
30012,Super Armor,Immune to Weak Attack's Stagger Effect,1,5,1
30013,Stun,,1,4,0
30014,Silence 0,Silence 0,1,5,0
30015,Silence 1,Silence 1,1,5,0
30016,Silence 2,Silence 2,1,5,0
30017,Cannot be Selected,,1,5,1
30018,Super Armor,Immune to Weak Attack's Stagger Effect,1,-1,1
30019,Weakened,Takes increased damage from Qi cluster's caster,1,8,0
30020,Awareness,,1,7.5,1
30021,Awareness,,1,7.5,1
30022,Awareness,,1,7.5,1
30023,Awareness,,1,7.5,1
30024,Awareness,,1,7.5,1
30025,Awareness,,1,7.5,1
30026,Awareness,,1,7.5,1
30027,Exposed,Exposed: Takes increased Qi damage,1,10,0
30028,Concentration,"Upon successful defense, enter Concentration state and deal extra damage.",1,10,0
30029,Super Armor,,1,15,1
30101,Immobilized,,1,3,0
